话题链接	话题内容	楼主ID	楼主昵称	楼主性别	发布日期	发布时间	转发量	评论量	点赞量	评论者ID	评论者昵称	评论者性别	评论日期	评论时间	评论内容
 	 	 	 	 	 	 	 	 	 	6264956364	小小da59	m	2020/2/15	12:11:30	钟老您辛苦了！(钟老是最早提出武汉需要封城的人之一，又是最早奔赴疫情爆发地武汉的专家，同时指导武汉市医疗、抗病毒药物攻关等相关工作，为广大百姓讲解防疫对策，其团队还为前线医护工作者配制中药防疫凉茶，钟老真的非常辛苦，一直在为全国的抗疫工作奔波忙碌)。
 	 	 	 	 	 	 	 	 	 	6063431977	wuli战烊	f	2020/2/15	12:10:34	钟老辛苦了！
 	 	 	 	 	 	 	 	 	 	5171343786	每天要超级开心快乐吖	f	2020/2/15	12:02:25	努力努力 加油鸭相信我们一定可以的真的一定可以的2020所有不好的事情很快就会过去的
 	 	 	 	 	 	 	 	 	 	2471399820	无赖q_	m	2020/2/15	12:01:12	国家应该让孩子明白，戏子只是和平时期消遣的东西，只有科学家才能强国
 	 	 	 	 	 	 	 	 	 	2471399820	无赖q_	m	2020/2/15	11:59:41	让蔡徐坤和鹿晗来研发！！！
 	 	 	 	 	 	 	 	 	 	2176164732	周小山的手榴弹谁扔炸谁	f	2020/2/15	11:58:23	厉害！
 	 	 	 	 	 	 	 	 	 	5233865629	生活积极瑾瑾努力	f	2020/2/15	11:57:39	@邢立达 嘤嘤嘤，我对恐龙的血型和血液里的成分解析好奇。。。。
 	 	 	 	 	 	 	 	 	 	1922711677	一颗柚子的茶	f	2020/2/15	11:55:20	钟于人民，南有泰斗，不动如山，动如雷霆，国士无双，我辈楷模。
 	 	 	 	 	 	 	 	 	 	5365118634	专吃韭菜盒子	m	2020/2/15	11:54:36	社会之福
 	 	 	 	 	 	 	 	 	 	6836133309	柳兩	m	2020/2/15	11:51:01	国之栋梁！中流砥柱！造福人类！
 	 	 	 	 	 	 	 	 	 	2161719285	友缘印务	f	2020/2/15	11:50:32	这回好了，希望快快进入量产
 	 	 	 	 	 	 	 	 	 	6632852289	饭饭千帆是锅巴	f	2020/2/15	11:43:19	
 	 	 	 	 	 	 	 	 	 	5221808005	Wu_叉叉	f	2020/2/15	11:42:07	??
